                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.85484,                0.60343,                 1.2318,                  0.976,                0.98168,                0.99037,                0.83701,                0.65744,                0.35892,                  1.092,               0.002278,               0.002278,               0.002278
                     80,                0.83888,                0.56821,                 1.2226,                 0.9785,                0.98632,                0.99048,                 0.8372,                 0.6539,                0.34471,                 1.0816,               0.002179,               0.002179,               0.002179
                     81,                 0.8322,                0.56633,                 1.2131,                0.97546,                0.98682,                0.98966,                0.84624,                0.62598,                0.33912,                 1.0647,                0.00208,                0.00208,                0.00208
                     82,                0.80315,                0.59083,                 1.2119,                0.97948,                0.98251,                0.99003,                 0.8459,                0.62277,                0.34018,                 1.0609,               0.001981,               0.001981,               0.001981
                     83,                0.82838,                0.57601,                 1.2148,                0.97348,                 0.9859,                 0.9903,                0.84947,                0.61168,                0.33671,                 1.0499,               0.001882,               0.001882,               0.001882
                     84,                0.80837,                0.54564,                 1.1972,                0.97837,                0.98187,                0.99048,                0.85215,                0.60851,                0.32559,                 1.0397,               0.001783,               0.001783,               0.001783
                     85,                0.80026,                0.54928,                 1.1926,                0.98136,                 0.9844,                0.99062,                 0.8544,                0.59537,                0.32051,                 1.0387,               0.001684,               0.001684,               0.001684
                     86,                0.78013,                0.54483,                   1.19,                0.98273,                0.98574,                0.99038,                0.85401,                0.58916,                0.31602,                 1.0341,               0.001585,               0.001585,               0.001585
                     87,                0.77112,                0.52469,                 1.1887,                0.98652,                0.98839,                0.99187,                 0.8612,                0.59032,                0.31099,                 1.0335,               0.001486,               0.001486,               0.001486
                     88,                0.78491,                0.55072,                 1.1934,                0.98623,                 0.9814,                0.99206,                 0.8588,                0.59138,                0.31449,                 1.0395,               0.001387,               0.001387,               0.001387
                     89,                0.80396,                0.54625,                 1.2019,                0.98109,                0.99048,                0.99228,                0.86907,                0.57768,                0.30583,                  1.035,               0.001288,               0.001288,               0.001288
                     90,                0.77917,                0.51758,                 1.1838,                0.98236,                0.98778,                0.99255,                0.87115,                0.55784,                 0.3006,                 1.0336,               0.001189,               0.001189,               0.001189
                     91,                0.75191,                 0.4934,                 1.1795,                0.98481,                0.98278,                 0.9924,                0.86836,                0.56287,                 0.3033,                  1.033,                0.00109,                0.00109,                0.00109
                     92,                  0.764,                0.50196,                 1.1857,                0.98421,                0.98646,                0.99173,                0.87372,                0.55787,                0.29931,                 1.0285,               0.000991,               0.000991,               0.000991
                     93,                0.74924,                0.50647,                 1.1724,                0.98593,                0.98848,                0.99191,                0.87778,                0.54636,                 0.2922,                 1.0218,               0.000892,               0.000892,               0.000892
                     94,                0.76108,                0.50084,                 1.1867,                0.98308,                0.98793,                0.99191,                0.87256,                0.55289,                0.29525,                 1.0145,               0.000793,               0.000793,               0.000793
                     95,                0.73741,                 0.4827,                 1.1597,                0.98409,                0.98855,                 0.9918,                 0.8759,                0.54185,                 0.2941,                 1.0087,               0.000694,               0.000694,               0.000694
                     96,                0.74023,                0.51543,                 1.1772,                0.98421,                0.98621,                0.99158,                0.88027,                0.52881,                0.28873,                 1.0035,               0.000595,               0.000595,               0.000595
                     97,                0.73481,                0.48181,                 1.1583,                0.98581,                0.98444,                0.99161,                0.87918,                0.52675,                 0.2878,                 1.0048,               0.000496,               0.000496,               0.000496
                     98,                0.72666,                0.48362,                 1.1539,                0.98632,                0.98296,                0.99189,                0.88161,                 0.5222,                0.28283,                 1.0029,               0.000397,               0.000397,               0.000397
                     99,                 0.7424,                 0.4907,                 1.1703,                0.98526,                0.98511,                0.99203,                0.88432,                0.51662,                0.28145,                 1.0006,               0.000298,               0.000298,               0.000298
